lon,lat,id,eu_dem_v11_E40N10,eu_dem_v11_E50N20,eu_dem_v11_E20N20,eu_dem_v11_E30N10,eu_dem_v11_E40N20,eu_dem_v11_E20N10,eu_dem_v11_E50N30,eu_dem_v11_E30N20,eu_dem_v11_E50N10,eu_dem_v11_E40N30,eu_dem_v11_E30N40,eu_dem_v11_E30N30
23.085,51.634,588627,,,,,,,152.66624,,,,,
-6.613,43.279,424745,,,736.45190,,,,,,,,,
23.163,51.899,588624,,,,,,,148.50008,,,,,
-6.487,42.840,424750,,,1019.33234,,,,,,,,,
15.007,36.800,555858,86.51600,,,,,,,,,,,
23.136,51.811,588625,,,,,,,160.45952,,,,,
-6.462,42.752,424751,,,1190.48157,,,,,,,,,
15.001,36.709,555859,-2.00000,,,,,,,,,,,
23.008,51.369,588630,,,,,,,173.29585,,,,,
-6.537,43.016,424748,,,1298.55957,,,,,,,,,
15.020,36.981,555856,449.68152,,,,,,,,,,,
22.983,51.281,588631,,,,,,,175.94763,,,,,
-6.512,42.928,424749,,,1499.96411,,,,,,,,,
15.014,36.891,555857,194.17404,,,,,,,,,,,
23.059,51.546,588628,,,,,,,175.36693,,,,,
23.033,51.458,588629,,,,,,,165.06946,,,,,
-6.690,43.542,424742,,,72.49254,,,,,,,,,
15.285,40.418,555818,306.57343,,,,,,,,,,,
-5.038,57.718,457530,,,,,,,,,,,,614.23022
-6.664,43.454,424743,,,503.32901,,,,,,,,,
15.277,40.328,555819,378.15906,,,,,,,,,,,
-5.001,57.630,457531,,,,,,,,,,,,315.91382
15.300,40.599,555816,364.92477,,,,,,,,,,,
-5.111,57.893,457528,,,,,,,,,,,,296.26120
15.292,40.508,555817,1099.81506,,,,,,,,,,,
-5.074,57.806,457529,,,,,,,,,,,,213.62381
-6.195,41.785,424762,,,750.67798,,,,,,,,,
15.255,40.057,555822,,,,,,,,,,,,
-4.893,57.368,457534,,,,,,,,,,,,612.68909
-6.172,41.697,424763,,,769.77405,,,,,,,,,
-4.858,57.280,457535,,,,,,,,,,,,121.62648
-6.243,41.961,424760,,,829.47742,,,,,,,,,
15.270,40.238,555820,401.51514,,,,,,,,,,,
-4.965,57.543,457532,,,,,,,,,,,,547.05603
-6.219,41.873,424761,,,1074.12878,,,,,,,,,
15.263,40.147,555821,694.09979,,,,,,,,,,,
-4.929,57.455,457533,,,,,,,,,,,,753.12280
-6.101,41.433,424766,,,765.81036,,,,,,,,,
15.346,41.140,555810,,,,,664.87201,,,,,,,
-6.078,41.345,424767,,,800.29596,,,,,,,,,
15.338,41.050,555811,,,,,630.57080,,,,,,,
-6.148,41.609,424764,,,756.02234,,,,,,,,,
15.361,41.320,555808,,,,,266.14072,,,,,,,
-6.124,41.521,424765,,,750.54907,,,,,,,,,
15.354,41.230,555809,,,,,733.68408,,,,,,,
-6.388,42.489,424754,,,1396.88953,,,,,,,,,
15.315,40.779,555814,694.09851,,,,,,,,,,,
-5.185,58.068,457526,,,,,,,,,,,,67.50000
-6.364,42.401,424755,,,1166.25000,,,,,,,,,
15.308,40.689,555815,629.42676,,,,,,,,,,,
-5.148,57.981,457527,,,,,,,,,,,,120.92159
-6.438,42.664,424752,,,762.08948,,,,,,,,,
15.330,40.959,555812,,,,,876.30310,,,,,,,
-5.260,58.243,457524,,,,,,,,,,,22.33456,
-6.413,42.576,424753,,,857.91492,,,,,,,,,
15.323,40.869,555813,429.30899,,,,,,,,,,,
-5.222,58.156,457525,,,,,,,,,,,,86.91000
-6.291,42.137,424758,,,976.46063,,,,,,,,,
-6.267,42.049,424759,,,844.94031,,,,,,,,,
23.655,53.484,588606,,,,,,,169.72449,,,,,
-6.340,42.313,424756,,,1624.53674,,,,,,,,,
23.626,53.396,588607,,,,,,,191.77534,,,,,
-6.315,42.225,424757,,,1171.16992,,,,,,,,,
23.712,53.660,588604,,,,,,,179.03635,,,,,
23.683,53.572,588605,,,,,,,202.34280,,,,,
15.409,41.861,555802,,,,,4.74539,,,,,,,
15.401,41.771,555803,,,,,70.93001,,,,,,,
15.417,41.951,555801,,,,,,,,,,,,
15.377,41.500,555806,,,,,156.28262,,,,,,,
15.369,41.410,555807,,,,,185.95618,,,,,,,
15.393,41.681,555804,,,,,74.32980,,,,,,,
15.385,41.591,555805,,,,,61.47795,,,,,,,
15.441,42.221,555798,,,,,,,,,,,,
15.433,42.131,555799,,,,,,,,,,,,
-1.224,43.925,456954,,,,,,,,40.44201,,,,
-1.207,43.836,456955,,,,,,,,58.65501,,,,
-1.260,44.103,456952,,,,,,,,41.67079,,,,
-1.242,44.014,456953,,,,,,,,39.38310,,,,
-1.155,43.568,456958,,,,,,,,47.81808,,,,
-1.138,43.479,456959,,,,,,,,12.66968,,,,
-1.190,43.747,456956,,,,,,,,50.08471,,,,
-1.172,43.657,456957,,,,,,,,3.46439,,,,
-1.295,44.281,456950,,,,,,,,,,,,
-1.277,44.192,456951,,,,,,,,46.52000,,,,
-1.331,44.459,456948,,,,,,,,,,,,
-1.313,44.370,456949,,,,,,,,,,,,
-2.157,48.188,456906,,,,,,,,101.48000,,,,
-2.136,48.099,456907,,,,,,,,73.04000,,,,
-2.200,48.365,456904,,,,,,,,109.24000,,,,
-2.179,48.276,456905,,,,,,,,114.48000,,,,
-2.072,47.833,456910,,,,,,,,20.40000,,,,
-2.051,47.745,456911,,,,,,,,80.96000,,,,
-2.114,48.011,456908,,,,,,,,115.64000,,,,
-2.093,47.922,456909,,,,,,,,43.48000,,,,
-2.244,48.542,456902,,,,,,,,44.30433,,,,
-2.222,48.453,456903,,,,,,,,96.07706,,,,
-2.266,48.631,456901,,,,,,,,50.72103,,,,
-1.825,46.769,456922,,,,,,,,26.73640,,,,
-1.805,46.681,456923,,,,,,,,40.02511,,,,
-1.865,46.947,456920,,,,,,,,11.77336,,,,
-1.845,46.858,456921,,,,,,,,33.89625,,,,
-1.745,46.414,456926,,,,,,,,,,,,
-1.785,46.592,456924,,,,,,,,5.44471,,,,
-1.765,46.503,456925,,,,,,,,15.54911,,,,
-1.988,47.479,456914,,,,,,,,4.27162,,,,
-1.967,47.390,456915,,,,,,,,55.31353,,,,
-2.030,47.656,456912,,,,,,,,28.36000,,,,
-2.009,47.568,456913,,,,,,,,20.02860,,,,
-1.906,47.124,456918,,,,,,,,7.78807,,,,
-1.885,47.035,456919,,,,,,,,37.29000,,,,
-1.947,47.302,456916,,,,,,,,1.32756,,,,
-1.926,47.213,456917,,,,,,,,17.97965,,,,
