"X","Y","ID","Av_NOx_100m","Av_traffic_100m","Building_100m","Open.Area_100m","Residential_100m","Resource.and.Industrial_100m","Waterbody_100m","Parks.and.Recreational_100m","Government.and.Institutional_100m","Commercial_100m","Pop_100m","Roads_100m","Tot_NOx_100m","Tot_traffic_100m"
605347,5034619,223,4.911266572,70.30665224,0,0,31374.93713,0,0,0,0,0,183.3615375,620.2150573,117.8704044,1687.359645
605466,5033328,224,0.928374904,18.43563897,3627.782183,0,26571.52609,0,0,4803.411041,0,0,243.8351785,490.5523946,22.28099675,442.4553221
583678.4505,5029066.202,416,0,0,0,0,21067.25969,0,0,10307.67744,0,0,13.5463544,303.6351255,0,0
591922.909,5038169.657,414,17.27727153,184.1560397,0,0,31374.93713,0,0,0,0,0,112.0309938,529.9068681,414.6545135,4419.744868
601225.4183,5042714.473,409,32.4577512,243.6762906,0,0,31374.93713,0,0,0,0,0,160.6362866,561.7441533,778.9860205,5848.230944
601597.7664,5039979.015,410,0.530764053,6.622808812,4016.695611,0,25504.3741,0,0,0,5870.563028,0,457.243048,393.821472,12.73833781,158.9474089
590758.7762,5039926.191,415,1.991898878,23.18746958,0,0,31374.93713,0,0,0,0,0,115.0192024,498.0248143,47.80557447,556.4992581
589971.569,5038919.221,98,1.283276669,14.96023461,1441.477457,0,31374.93713,0,0,0,0,0,166.6385237,424.3107098,30.79863895,359.0456221
594637.1448,5038178.878,413,17.86449068,92.99423115,0,9219.83334,22155.10379,0,0,0,0,0,103.420599,380.8427693,428.7477896,2231.861592
605254.0796,5047563.817,404,2.800625479,39.85424422,0,1.285705082,31373.65143,0,0,0,0,0,207.7689955,693.4619452,67.21500989,956.5018777
610685.9473,5047138.905,403,10.6831699,49.93719353,4030.819788,0,31374.93713,0,0,0,0,0,341.4938173,472.8867839,256.3960963,1198.492605
613081.0979,5051232.565,402,6.351589464,86.90109297,6442.333887,9.034701397,30981.92305,383.9793823,0,0,0,0,377.511719,673.0270429,152.4381448,2085.626212
609180.569,5054150.845,401,9.865314982,76.92940879,227.2155542,0,31374.93713,0,0,0,0,0,138.3489535,616.5103944,236.7675641,1846.305811
